Rk,Team,Conf,W-L,NetRtg,ORtg,R_ORtg,DRtg,R_DRtg,AdjT,R_Tempo,Luck,R_Luck,NetRtg,R_SOS_NetRTG,ORtg,R_SOS_ORTG,DRtg,R_SOS_DRtg,NetRtg,R_Non_Conf_SOS_NetRTG
1,Duke,ACC,25-3,+38.78,128.6,2,89.9,4,66.0,264,-.041,290,+9.11,56,113.2,41,104.1,71,+9.61,22
2,Auburn,SEC,26-2,+36.92,130.7,1,93.7,12,68.5,125,+.064,53,+17.12,1,116.5,2,99.4,2,+10.30,19
3,Houston,B12,24-4,+35.92,125.1,8,89.1,3,61.0,361,-.015,219,+12.40,27,113.5,35,101.1,20,+2.61,101
4,Florida,SEC,24-4,+33.47,126.6,4,93.1,8,69.4,75,-.005,187,+11.47,37,113.2,40,101.7,28,-1.39,217
5,Tennessee,SEC,23-5,+31.50,119.0,25,87.5,1,63.8,345,+.020,131,+13.74,13,116.1,4,102.4,48,-0.87,205
6,Alabama,SEC,23-5,+29.36,127.8,3,98.4,40,74.8,1,+.048,83,+17.06,2,117.3,1,100.3,8,+12.04,10
7,Texas Tech,B12,21-7,+27.11,123.9,10,96.8,27,65.9,273,-.058,312,+9.54,54,111.6,68,102.0,37,-5.01,314
8,Wisconsin,B10,22-6,+27.11,125.2,7,98.1,37,67.4,189,-.038,284,+12.08,31,114.1,21,102.0,38,+0.41,156
9,Gonzaga,WCC,22-8,+26.63,124.5,9,97.9,36,70.4,46,-.095,354,+6.14,79,111.2,73,105.1,89,+9.39,24
10,Michigan St.,B10,23-5,+26.55,118.9,26,92.4,6,67.5,177,-.005,189,+11.68,36,113.8,28,102.1,39,+0.11,175
11,Missouri,SEC,21-7,+26.18,125.9,5,99.8,52,68.5,124,-.015,216,+10.19,47,112.3,55,102.1,41,-9.36,357
12,Arizona,B12,19-9,+25.88,120.8,17,94.9,19,70.3,51,-.051,303,+14.26,11,115.2,10,100.9,14,+5.83,47
13,Iowa St.,B12,21-7,+25.78,119.3,23,93.5,11,68.9,102,-.023,247,+10.94,43,113.0,44,102.1,40,-1.65,227
14,St. John's,BE,25-4,+25.30,114.2,72,88.9,2,70.0,60,-.028,258,+8.49,62,112.3,57,103.8,66,-0.13,183
15,Kentucky,SEC,19-9,+24.92,125.8,6,100.8,61,70.8,35,-.015,221,+16.66,3,116.4,3,99.7,3,+4.21,65
16,Maryland,B10,21-7,+24.85,119.5,20,94.6,16,70.1,53,-.047,296,+8.85,58,112.7,49,103.8,67,-10.50,360
17,Purdue,B10,19-9,+24.41,123.7,11,99.3,49,65.5,290,-.010,208,+15.50,5,116.1,5,100.6,10,+10.40,18
18,Saint Mary's,WCC,25-4,+24.28,117.7,37,93.4,10,62.3,359,+.004,174,+5.15,89,111.1,75,106.0,113,+5.28,52
19,Clemson,ACC,23-5,+24.15,121.1,16,97.0,28,63.9,343,-.030,261,+8.01,66,112.3,58,104.3,76,+3.89,75
20,Kansas,B12,19-9,+23.53,115.3,59,91.8,5,68.8,107,-.009,205,+13.59,16,114.5,17,100.9,15,+8.24,30
21,Texas A&M,SEC,20-8,+23.44,116.3,52,92.8,7,66.6,226,+.007,163,+14.89,8,115.2,9,100.4,9,+7.29,36
22,Illinois,B10,18-11,+22.97,120.6,18,97.7,35,71.8,18,-.040,288,+15.10,6,115.0,12,99.9,4,+3.38,87
23,Michigan,B10,21-6,+22.84,117.5,39,94.6,17,69.9,62,+.060,61,+12.71,21,113.9,24,101.2,22,+4.02,74
24,Louisville,ACC,22-6,+22.48,119.2,24,96.8,26,69.1,87,+.049,81,+9.89,51,113.3,38,103.4,63,+7.03,41
25,Mississippi,SEC,19-9,+22.16,117.8,36,95.6,21,68.3,135,-.005,188,+13.73,14,114.7,16,101.0,17,-0.85,204
26,Marquette,BE,21-7,+22.04,118.1,32,96.1,22,67.6,173,+.005,172,+10.68,44,113.1,43,102.4,45,+8.86,26
27,BYU,B12,20-8,+21.78,123.5,12,101.7,71,67.3,194,+.009,156,+9.43,55,111.6,69,102.1,42,-7.38,347
28,UCLA,B10,20-8,+21.73,116.3,51,94.6,15,65.0,312,-.007,197,+11.07,41,113.5,36,102.4,49,-5.00,313
